algo,instance,score,runtime
ACO,eil51_n50_uncorr_01.ttp,2365.15,19.96
ACO,eil51_n50_uncorr_01.ttp,2317.72,17.45
ACO,eil51_n50_uncorr_01.ttp,3145.06,18.03
ACO,eil51_n50_uncorr_01.ttp,2954.05,18.00
ACO,eil51_n50_uncorr_01.ttp,1668.32,17.92
ACO,eil51_n50_bounded-strongly-corr_01.ttp,4237.48,18.06
ACO,eil51_n50_bounded-strongly-corr_01.ttp,4153.19,17.83
ACO,eil51_n50_bounded-strongly-corr_01.ttp,4077.97,18.17
ACO,eil51_n50_bounded-strongly-corr_01.ttp,3883.27,17.46
ACO,eil51_n50_bounded-strongly-corr_01.ttp,3962.50,17.11
