algo,instance,run,score,runtime
ACO,tiny_n5,1,56.32,0.02
ACO,tiny_n5,2,56.32,0.02
ACO,tiny_n5,3,56.32,0.02
GWO,tiny_n5,1,39.89,0.01
GWO,tiny_n5,2,23.59,0.01
GWO,tiny_n5,3,56.32,0.01
GA,tiny_n5,1,56.32,0.15
GA,tiny_n5,2,56.32,0.12
GA,tiny_n5,3,56.32,0.11
GAImproved,tiny_n5,1,56.32,0.03
GAImproved,tiny_n5,2,56.32,0.03
GAImproved,tiny_n5,3,56.32,0.03
SA,tiny_n5,1,56.32,0.10
SA,tiny_n5,2,56.32,0.10
SA,tiny_n5,3,56.32,0.10
SAImproved,tiny_n5,1,56.32,0.21
SAImproved,tiny_n5,2,56.32,0.21
SAImproved,tiny_n5,3,56.32,0.21
S5,tiny_n5,1,29.36,0.00
S5,tiny_n5,2,29.36,0.00
S5,tiny_n5,3,29.36,0.00
ACO,tiny_n7,1,115.23,0.04
ACO,tiny_n7,2,115.23,0.03
ACO,tiny_n7,3,115.23,0.03
GWO,tiny_n7,1,105.31,0.01
GWO,tiny_n7,2,71.42,0.02
GWO,tiny_n7,3,104.50,0.02
GA,tiny_n7,1,108.95,0.13
GA,tiny_n7,2,115.23,0.12
GA,tiny_n7,3,115.23,0.13
GAImproved,tiny_n7,1,108.95,0.08
GAImproved,tiny_n7,2,101.70,0.07
GAImproved,tiny_n7,3,108.95,0.08
SA,tiny_n7,1,115.23,0.11
SA,tiny_n7,2,115.23,0.11
SA,tiny_n7,3,110.40,0.11
SAImproved,tiny_n7,1,115.23,0.25
SAImproved,tiny_n7,2,115.23,0.24
SAImproved,tiny_n7,3,115.23,0.26
S5,tiny_n7,1,65.78,0.00
S5,tiny_n7,2,65.78,0.00
S5,tiny_n7,3,65.78,0.00
ACO,tiny_n9,1,40.77,0.06
ACO,tiny_n9,2,40.77,0.06
ACO,tiny_n9,3,40.77,0.06
GWO,tiny_n9,1,-31.18,0.02
GWO,tiny_n9,2,11.14,0.03
GWO,tiny_n9,3,-15.30,0.03
GA,tiny_n9,1,40.77,0.18
GA,tiny_n9,2,23.04,0.22
GA,tiny_n9,3,52.71,0.18
GAImproved,tiny_n9,1,52.10,0.18
GAImproved,tiny_n9,2,52.10,0.18
GAImproved,tiny_n9,3,52.10,0.19
SA,tiny_n9,1,52.71,0.12
SA,tiny_n9,2,36.76,0.12
SA,tiny_n9,3,40.77,0.12
SAImproved,tiny_n9,1,52.71,0.53
SAImproved,tiny_n9,2,52.71,0.53
SAImproved,tiny_n9,3,52.71,0.51
S5,tiny_n9,1,-22.51,0.00
S5,tiny_n9,2,-22.51,0.00
S5,tiny_n9,3,-22.51,0.00
ACO,eil51_uncorr,1,1494.70,9.12
ACO,eil51_uncorr,2,1345.51,8.79
ACO,eil51_uncorr,3,2100.85,7.01
GWO,eil51_uncorr,1,1650.49,0.47
GWO,eil51_uncorr,2,1072.35,0.60
GWO,eil51_uncorr,3,1318.98,0.45
GA,eil51_uncorr,1,2227.24,0.68
GA,eil51_uncorr,2,2007.90,0.71
GA,eil51_uncorr,3,1815.12,0.71
GAImproved,eil51_uncorr,1,2796.75,32.22
GAImproved,eil51_uncorr,2,2742.13,24.09
GAImproved,eil51_uncorr,3,2591.30,24.43
SA,eil51_uncorr,1,1750.08,0.19
SA,eil51_uncorr,2,1323.80,0.18
SA,eil51_uncorr,3,940.14,0.18
SAImproved,eil51_uncorr,1,2806.18,7.58
SAImproved,eil51_uncorr,2,2788.39,8.00
SAImproved,eil51_uncorr,3,2748.82,7.69
S5,eil51_uncorr,1,447.79,0.00
S5,eil51_uncorr,2,447.79,0.00
S5,eil51_uncorr,3,447.79,0.00
ACO,eil51_corr,1,3779.66,7.08
ACO,eil51_corr,2,3631.28,8.73
ACO,eil51_corr,3,2254.17,2.17
GWO,eil51_corr,1,2597.91,0.34
GWO,eil51_corr,2,2580.33,0.21
GWO,eil51_corr,3,2721.83,0.19
GA,eil51_corr,1,3402.50,0.54
GA,eil51_corr,2,2727.26,0.22
GA,eil51_corr,3,2676.47,0.67
GAImproved,eil51_corr,1,3742.84,41.11
GAImproved,eil51_corr,2,3857.17,15.21
GAImproved,eil51_corr,3,3984.47,27.22
SA,eil51_corr,1,2720.80,0.21
SA,eil51_corr,2,2678.70,0.20
SA,eil51_corr,3,2808.57,0.22
SAImproved,eil51_corr,1,3516.12,7.70
SAImproved,eil51_corr,2,3707.32,6.84
SAImproved,eil51_corr,3,3741.81,7.30
S5,eil51_corr,1,2575.12,0.00
S5,eil51_corr,2,2575.12,0.00
S5,eil51_corr,3,2575.12,0.00
ACO,pr76_n75_uncorr,1,3100.78,29.56
ACO,pr76_n75_uncorr,2,-821.22,7.63
ACO,pr76_n75_uncorr,3,478.89,11.71
GWO,pr76_n75_uncorr,1,2239.40,1.08
GWO,pr76_n75_uncorr,2,2715.01,1.17
GWO,pr76_n75_uncorr,3,410.88,0.47
GA,pr76_n75_uncorr,1,2965.87,0.96
GA,pr76_n75_uncorr,2,3173.90,0.96
GA,pr76_n75_uncorr,3,1591.99,0.97
GAImproved,pr76_n75_uncorr,1,4996.28,66.32
GAImproved,pr76_n75_uncorr,2,5010.00,73.62
GAImproved,pr76_n75_uncorr,3,5010.00,85.72
SA,pr76_n75_uncorr,1,2707.87,0.27
SA,pr76_n75_uncorr,2,2142.83,0.28
SA,pr76_n75_uncorr,3,2478.30,0.28
SAImproved,pr76_n75_uncorr,1,4706.72,22.79
SAImproved,pr76_n75_uncorr,2,4809.61,22.79
SAImproved,pr76_n75_uncorr,3,4853.40,23.02
S5,pr76_n75_uncorr,1,-556.85,0.00
S5,pr76_n75_uncorr,2,-556.85,0.00
S5,pr76_n75_uncorr,3,-556.85,0.00
ACO,pr76_n75_corr,1,1265.00,29.53
ACO,pr76_n75_corr,2,1602.45,28.03
ACO,pr76_n75_corr,3,916.22,22.07
GWO,pr76_n75_corr,1,-1091.11,0.56
GWO,pr76_n75_corr,2,-1367.41,0.79
GWO,pr76_n75_corr,3,-2109.29,1.21
GA,pr76_n75_corr,1,-625.23,0.89
GA,pr76_n75_corr,2,-1975.02,1.02
GA,pr76_n75_corr,3,-351.16,0.83
GAImproved,pr76_n75_corr,1,2706.98,53.88
GAImproved,pr76_n75_corr,2,2750.05,97.91
GAImproved,pr76_n75_corr,3,1863.76,74.73
SA,pr76_n75_corr,1,-614.88,0.27
SA,pr76_n75_corr,2,-879.46,0.28
SA,pr76_n75_corr,3,-502.34,0.27
SAImproved,pr76_n75_corr,1,2598.35,22.25
SAImproved,pr76_n75_corr,2,2630.45,22.13
SAImproved,pr76_n75_corr,3,1899.60,21.87
S5,pr76_n75_corr,1,-4520.40,0.01
S5,pr76_n75_corr,2,-4520.40,0.01
S5,pr76_n75_corr,3,-4520.40,0.01
ACO,rat195_uncorr,1,2037.97,535.10
ACO,rat195_uncorr,2,-570.67,519.36
ACO,rat195_uncorr,3,1239.89,506.28
GWO,rat195_uncorr,1,341.81,6.00
GWO,rat195_uncorr,2,387.14,7.46
GWO,rat195_uncorr,3,527.38,5.88
GA,rat195_uncorr,1,-1984.50,2.16
GA,rat195_uncorr,2,-1439.25,1.41
GA,rat195_uncorr,3,-176.68,2.10
GAImproved,rat195_uncorr,1,8118.47,1659.65
GAImproved,rat195_uncorr,2,8012.16,1367.66
GAImproved,rat195_uncorr,3,7685.76,1220.65
SA,rat195_uncorr,1,-7040.75,0.62
SA,rat195_uncorr,2,-6294.02,0.62
SA,rat195_uncorr,3,-8459.01,0.62
SAImproved,rat195_uncorr,1,7125.16,181.01
SAImproved,rat195_uncorr,2,7592.20,178.65
SAImproved,rat195_uncorr,3,6268.76,180.68
S5,rat195_uncorr,1,512.42,0.04
S5,rat195_uncorr,2,512.42,0.04
S5,rat195_uncorr,3,512.42,0.04
ACO,rat195_corr,1,6711.85,430.26
ACO,rat195_corr,2,6462.44,433.64
ACO,rat195_corr,3,6769.61,424.57
GWO,rat195_corr,1,1816.02,3.13
GWO,rat195_corr,2,1616.88,3.63
GWO,rat195_corr,3,2289.38,6.62
GA,rat195_corr,1,1332.70,1.61
GA,rat195_corr,2,1839.03,1.80
GA,rat195_corr,3,1368.04,0.95
GAImproved,rat195_corr,1,11522.27,1750.64
GAImproved,rat195_corr,2,10270.98,1231.61
GAImproved,rat195_corr,3,11214.38,2784.34
SA,rat195_corr,1,-1777.21,0.61
SA,rat195_corr,2,-579.16,0.60
SA,rat195_corr,3,-960.22,0.60
SAImproved,rat195_corr,1,10090.66,114.12
SAImproved,rat195_corr,2,11674.27,113.79
SAImproved,rat195_corr,3,11203.54,119.16
S5,rat195_corr,1,3670.13,0.10
S5,rat195_corr,2,3670.13,0.10
S5,rat195_corr,3,3670.13,0.10
